epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
172,24693.2,0.72037,0.43362,0.96799,0.9136,0.87598,0.91901,0.72587,0.89822,0.51135,1.1091,0.0015355,0.0015355,0.0015355
173,24836.8,0.71908,0.43076,0.96764,0.91607,0.87544,0.91832,0.72594,0.89869,0.51182,1.10951,0.001486,0.001486,0.001486
174,24980.5,0.71489,0.42908,0.96718,0.9175,0.8754,0.91903,0.7265,0.89911,0.51199,1.10993,0.0014365,0.0014365,0.0014365
175,25123.9,0.715,0.42994,0.96652,0.91749,0.87557,0.91899,0.72613,0.89961,0.51238,1.11046,0.001387,0.001387,0.001387
176,25267.9,0.71258,0.42677,0.96494,0.91643,0.87525,0.91874,0.72613,0.89958,0.51221,1.11063,0.0013375,0.0013375,0.0013375
177,25411.4,0.70926,0.42407,0.96483,0.91828,0.87462,0.91892,0.72604,0.89983,0.51321,1.11115,0.001288,0.001288,0.001288
178,25554.8,0.70691,0.42411,0.96223,0.91912,0.87474,0.91915,0.72613,0.89947,0.51334,1.11123,0.0012385,0.0012385,0.0012385
179,25698.4,0.70369,0.42176,0.95956,0.91627,0.87446,0.91795,0.72616,0.89966,0.51361,1.11158,0.001189,0.001189,0.001189
180,25842.2,0.70039,0.41899,0.96004,0.91499,0.87495,0.91794,0.72588,0.89984,0.51418,1.11218,0.0011395,0.0011395,0.0011395
181,25985.4,0.7004,0.41803,0.96005,0.91563,0.87366,0.91772,0.72666,0.90029,0.51475,1.11277,0.00109,0.00109,0.00109
